2026-08-05 12:26:20 | INFO     | MainThread      | Starting pipeline execution (4 stages) for test_audio.mp3
2026-08-05 12:26:21 | INFO     | MainThread      | Executing Pipeline Stage: [Music Detection]...
2026-08-05 12:26:21 | INFO     | MainThread      | [Music Detection] Analyzing audio file test_audio.mp3 using model=Baseline-VAD-MusicEnergy
2026-08-05 12:26:21 | INFO     | MainThread      | Executing Pipeline Stage: [Source Separation]...
2026-08-05 12:26:21 | INFO     | MainThread      | [Source Separation] Running joint source separation model 'Demucs-v4-GhanaRadio' on test_audio.mp3
2026-08-05 12:26:21 | INFO     | MainThread      | Executing Pipeline Stage: [Neural Fingerprinting]...
2026-08-05 12:26:21 | INFO     | MainThread      | [Neural Fingerprinting] Generating fingerprint embedding via 'NeuralFingerprint-v1' for test_audio.mp3
2026-08-05 12:26:21 | INFO     | MainThread      | Executing Pipeline Stage: [Benchmarking]...
2026-08-05 12:26:21 | INFO     | MainThread      | [Benchmarking] Running benchmark suite 'G-Radio-Eval-v1' on test_audio.mp3
2026-08-05 12:26:21 | INFO     | MainThread      | Pipeline execution completed successfully for test_audio.mp3
2026-08-05 12:26:22 | WARNING  | MainThread      | [GRAF-QA] Validation failed for empty.mp3: ['Audio file size is 0 bytes', 'File non-existent or zero byte']
